map,solver,k,w,h,seed,status,runtime,throughput,avg_collisions,wall_time
warehouse,WHCA,50,60,8,1,success,120.001,1,0.0,128.54914093017578
warehouse,WHCA,50,60,8,2,timeout,,0,,
warehouse,WHCA,50,60,8,3,success,120.0,1,0.0,128.67506504058838
warehouse,ECBS,50,20,3,1,disconnected_graph,,0,,
warehouse,ECBS,50,20,3,2,disconnected_graph,,0,,
warehouse,ECBS,50,20,3,3,disconnected_graph,,0,,
warehouse,ECBS,50,20,5,1,disconnected_graph,,0,,
warehouse,ECBS,50,20,5,2,disconnected_graph,,0,,
warehouse,ECBS,50,20,5,3,disconnected_graph,,0,,
warehouse,ECBS,50,20,8,1,disconnected_graph,,0,,
warehouse,ECBS,50,20,8,2,disconnected_graph,,0,,
warehouse,ECBS,50,20,8,3,disconnected_graph,,0,,
warehouse,ECBS,50,40,3,1,disconnected_graph,,0,,
warehouse,ECBS,50,40,3,2,disconnected_graph,,0,,
warehouse,ECBS,50,40,3,3,disconnected_graph,,0,,
warehouse,ECBS,50,40,5,1,disconnected_graph,,0,,
warehouse,ECBS,50,40,5,2,disconnected_graph,,0,,
warehouse,ECBS,50,40,5,3,disconnected_graph,,0,,
warehouse,ECBS,50,40,8,1,disconnected_graph,,0,,
warehouse,ECBS,50,40,8,2,disconnected_graph,,0,,
warehouse,ECBS,50,40,8,3,disconnected_graph,,0,,
warehouse,ECBS,50,60,3,1,disconnected_graph,,0,,
warehouse,ECBS,50,60,3,2,disconnected_graph,,0,,
warehouse,ECBS,50,60,3,3,disconnected_graph,,0,,
warehouse,ECBS,50,60,5,1,disconnected_graph,,0,,
warehouse,ECBS,50,60,5,2,disconnected_graph,,0,,
warehouse,ECBS,50,60,5,3,disconnected_graph,,0,,
warehouse,ECBS,50,60,8,1,disconnected_graph,,0,,
warehouse,ECBS,50,60,8,2,disconnected_graph,,0,,
warehouse,ECBS,50,60,8,3,disconnected_graph,,0,,
sorting,PBS,50,20,3,1,success,0.01809957462686567,134,2.462686567164179,15.672831058502197
sorting,PBS,50,20,3,2,success,0.018441000000000003,134,3.0074626865671643,15.727012157440186
sorting,PBS,50,20,3,3,success,0.01773264925373134,134,2.828358208955224,15.520149946212769
sorting,PBS,50,20,5,1,success,0.019625475,80,2.85,14.722094058990479
sorting,PBS,50,20,5,2,success,0.019575912500000004,80,2.625,14.593861818313599
sorting,PBS,50,20,5,3,success,0.01976255,80,3.475,14.679949045181274
sorting,PBS,50,20,8,1,success,0.022133220000000002,50,3.64,14.037081956863403
sorting,PBS,50,20,8,2,success,0.0220251,50,3.52,13.945123195648193
sorting,PBS,50,20,8,3,success,0.022909959999999997,50,4.28,14.041691780090332
sorting,PBS,50,40,3,1,success,0.019479238805970148,134,2.8358208955223883,15.907249927520752
sorting,PBS,50,40,3,2,success,0.019271649253731343,134,3.3134328358208953,15.856322050094604
sorting,PBS,50,40,3,3,success,0.01941614925373134,134,2.7686567164179103,15.921758890151978
sorting,PBS,50,40,5,1,success,0.022199312500000002,80,4.1625,14.822720766067505
sorting,PBS,50,40,5,2,success,0.0203696875,80,3.025,14.63920783996582
sorting,PBS,50,40,5,3,success,0.0206315625,80,3.875,14.63255500793457
sorting,PBS,50,40,8,1,success,0.02452832,50,4.4,14.079849243164062
sorting,PBS,50,40,8,2,success,0.023916140000000002,50,4.46,14.044256925582886
sorting,PBS,50,40,8,3,success,0.025675020000000003,50,5.54,14.150693893432617
sorting,PBS,50,60,3,1,success,0.01907376119402985,134,2.5522388059701493,15.802751064300537
sorting,PBS,50,60,3,2,success,0.019609261194029847,134,3.2686567164179103,16.0156888961792
sorting,PBS,50,60,3,3,success,0.018470701492537312,134,3.111940298507463,15.711995840072632
sorting,PBS,50,60,5,1,success,0.022345800000000002,80,4.575,14.841848134994507
sorting,PBS,50,60,5,2,success,0.020646249999999998,80,3.0625,14.662517070770264
sorting,PBS,50,60,5,3,success,0.0209242875,80,3.8875,14.854900121688843
sorting,PBS,50,60,8,1,success,0.025975860000000003,50,4.54,15.284072875976562
sorting,PBS,50,60,8,2,success,0.02429392,50,4.44,14.116281032562256
sorting,PBS,50,60,8,3,success,0.026057580000000004,50,5.62,14.13331389427185
sorting,ECBS,50,20,3,1,success,0.08327339552238806,134,0.208955223880597,24.12789011001587
sorting,ECBS,50,20,3,2,success,0.08206489552238806,134,0.08955223880597014,24.269536018371582
sorting,ECBS,50,20,3,3,success,0.08197218656716418,134,0.17164179104477612,23.775346755981445
sorting,ECBS,50,20,5,1,success,0.0850973125,80,0.1625,19.692665100097656
sorting,ECBS,50,20,5,2,success,0.0846942,80,0.1,19.549317121505737
sorting,ECBS,50,20,5,3,success,0.08515878750000001,80,0.0375,20.29046368598938
sorting,ECBS,50,20,8,1,success,0.08846074,50,0.34,17.119050979614258
sorting,ECBS,50,20,8,2,success,0.08747488,50,0.18,17.225207090377808
sorting,ECBS,50,20,8,3,success,0.08716104000000001,50,0.2,17.067163228988647
sorting,ECBS,50,40,3,1,success,0.15029256716417913,134,0.022388059701492536,33.34949088096619
sorting,ECBS,50,40,3,2,success,0.14847808955223882,134,0.014925373134328358,32.85181427001953
sorting,ECBS,50,40,3,3,success,0.14906173880597018,134,0.014925373134328358,33.46025013923645
sorting,ECBS,50,40,5,1,success,0.15172813749999997,80,0.05,25.090000867843628
sorting,ECBS,50,40,5,2,success,0.151862675,80,0.025,25.062842845916748
sorting,ECBS,50,40,5,3,success,0.151841625,80,0.0,25.06611919403076
sorting,ECBS,50,40,8,1,success,0.15691628,50,0.04,20.741464138031006
sorting,ECBS,50,40,8,2,success,0.15657247999999999,50,0.02,20.605321168899536
sorting,ECBS,50,40,8,3,success,0.1586995,50,0.04,20.710536003112793
sorting,ECBS,50,60,3,1,success,0.21373434328358207,134,0.0,41.552407026290894
sorting,ECBS,50,60,3,2,success,0.21390973880597014,134,0.0,41.662018060684204
sorting,ECBS,50,60,3,3,success,0.21188903731343284,134,0.0,41.456382274627686
sorting,ECBS,50,60,5,1,success,0.218037175,80,0.0125,30.5206561088562
sorting,ECBS,50,60,5,2,success,0.21494996250000004,80,0.0125,30.109347820281982
sorting,ECBS,50,60,5,3,success,0.21896282500000003,80,0.0,30.513258934020996
sorting,ECBS,50,60,8,1,success,0.23803860000000004,50,0.02,24.722905158996582
sorting,ECBS,50,60,8,2,success,0.22386507999999997,50,0.02,24.067427158355713
sorting,ECBS,50,60,8,3,success,0.23104288,50,0.04,24.39690399169922
sorting,WHCA,50,20,3,1,success,0.04056830597014926,134,0.0,18.11460828781128
sorting,WHCA,50,20,3,2,success,0.04031175373134329,134,0.0,18.159003257751465
sorting,WHCA,50,20,3,3,success,0.042958141791044784,134,0.0,18.844513177871704
sorting,WHCA,50,20,5,1,success,0.043541325,80,0.0,16.789800882339478
sorting,WHCA,50,20,5,2,success,0.0435168125,80,0.0,16.391501903533936
sorting,WHCA,50,20,5,3,success,0.0422977125,80,0.0,16.33526110649109
sorting,WHCA,50,20,8,1,success,0.04751534,50,0.0,15.194763660430908
sorting,WHCA,50,20,8,2,success,0.04656752000000001,50,0.0,15.000688791275024
sorting,WHCA,50,20,8,3,success,0.046760579999999996,50,0.0,15.061621904373169
sorting,WHCA,50,40,3,1,success,0.05380663432835821,134,0.0,20.021860122680664
sorting,WHCA,50,40,3,2,success,0.05306475373134329,134,0.0,20.30089497566223
sorting,WHCA,50,40,3,3,success,0.05233957462686567,134,0.0,20.14634871482849
sorting,WHCA,50,40,5,1,success,0.058158,80,0.0,17.74033808708191
sorting,WHCA,50,40,5,2,success,0.05664931250000001,80,0.0,17.658182859420776
sorting,WHCA,50,40,5,3,success,0.055795649999999995,80,0.0,17.8293559551239
sorting,WHCA,50,40,8,1,success,0.06420766,50,0.0,16.978474855422974
sorting,WHCA,50,40,8,2,success,0.06183318,50,0.0,16.287877321243286
sorting,WHCA,50,40,8,3,success,0.06165648,50,0.0,16.12295413017273
sorting,WHCA,50,60,3,1,success,0.05772637313432836,134,0.0,20.854682207107544
sorting,WHCA,50,60,3,2,success,0.05777388059701492,134,0.0,20.958961248397827
sorting,WHCA,50,60,3,3,success,0.056067582089552245,134,0.0,20.81965208053589
sorting,WHCA,50,60,5,1,success,0.0638381875,80,0.0,18.30742907524109
sorting,WHCA,50,60,5,2,success,0.063076925,80,0.0,18.74774193763733
sorting,WHCA,50,60,5,3,success,0.059464125,80,0.0,18.448572874069214
sorting,WHCA,50,60,8,1,success,0.06936976,50,0.0,16.173830032348633
sorting,WHCA,50,60,8,2,success,0.06633676,50,0.0,16.014856100082397
sorting,WHCA,50,60,8,3,success,0.06645434,50,0.0,16.161241054534912
